turntid;dyadid;experimenttype;INTERFACEUSED;TURNTYPE;Sender;Text;Deletes1;Deletes2;TimestampReceived;Duration;GameNo;MazeID;Translation;;;;;;;;;;;;;;;;;;;;;;
2101;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;OkeIk heb van de linkerrij de onderste nodig;;;1,59042E+12;12667;0;3;Okay I need the bottom row from the left row;;;;;;;;;;;;;;;;;;;;;;
2106;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;Gaat je poortje open?;;;1,59042E+12;5246;0;3;Is your gate opening?;;;;;;;;;;;;;;;;;;;;;;
2107;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;Ja;;;1,59042E+12;127;0;3;Yes;;;;;;;;;;;;;;;;;;;;;;
2113;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;Mijne niet;;;1,59042E+12;1321;0;3;Not mine;;;;;;;;;;;;;;;;;;;;;;
2115;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;Ik ben onderweg;;;1,59042E+12;1790;0;3;I'm on my way;;;;;;;;;;;;;;;;;;;;;;
2120;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;okiiwaa;;;1,59042E+12;2656;0;3;okiiwaa;;;;;;;;;;;;;;;;;;;;;;
2121;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;I;;;1,59042E+12;0;0;3;I;;;;;;;;;;;;;;;;;;;;;;
2122;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;r;;;1,59042E+12;0;0;3;r;;;;;;;;;;;;;;;;;;;;;;
2123;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;s;;;1,59042E+12;0;0;3;s;;;;;;;;;;;;;;;;;;;;;;
2124;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2; ;;;1,59042E+12;0;0;3; ;;;;;;;;;;;;;;;;;;;;;;
2125;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1; ;;;1,59042E+12;0;0;3; ;;;;;;;;;;;;;;;;;;;;;;
2126;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;j;;;1,59042E+12;0;0;3;j;;;;;;;;;;;;;;;;;;;;;;
2129;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;het deze;;;1,59042E+12;1198;0;3;this one;;;;;;;;;;;;;;;;;;;;;;
2130;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;jaaa;;;1,59042E+12;394;0;3;yeah;;;;;;;;;;;;;;;;;;;;;;
2139;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;?;;;1,59042E+12;0;0;3;?;;;;;;;;;;;;;;;;;;;;;;
2140;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;ga naar je kruisje;;;1,59042E+12;2331;0;3;go to your gusset;;;;;;;;;;;;;;;;;;;;;;
2141;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;Kun je mijne nog eens open zetten?;;;1,59042E+12;7332;0;3;Can you open mine again?;;;;;;;;;;;;;;;;;;;;;;
2144;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;okii;;;1,59042E+12;468;0;3;okii;;;;;;;;;;;;;;;;;;;;;;
2160;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;Ogf moet je dan langs een poortje?;;;1,59042E+12;5432;0;3;Ogf do you have to pass a gate?;;;;;;;;;;;;;;;;;;;;;;
2168;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;huh wat raarik moet waarschijnlijk een andere grijse van jouanders kan i;;;1,59042E+12;18135;0;3;huh what weird must probably another gray of you can do i;;;;;;;;;;;;;;;;;;;;;;
2169;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;D;;;1,59042E+12;0;0;3;D;;;;;;;;;;;;;;;;;;;;;;
2170;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;k;;;1,59042E+12;0;0;3;k;;;;;;;;;;;;;;;;;;;;;;
2171;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;e;;;1,59042E+12;0;0;3;e;;;;;;;;;;;;;;;;;;;;;;
2172;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2; ;;;1,59042E+12;0;0;3; ;;;;;;;;;;;;;;;;;;;;;;
2173;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1; ;;;1,59042E+12;0;0;3; ;;;;;;;;;;;;;;;;;;;;;;
2174;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;niet ;;;1,59042E+12;469;0;3;not;;;;;;;;;;;;;;;;;;;;;;
2175;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;r;;;1,59042E+12;0;0;3;r;;;;;;;;;;;;;;;;;;;;;;
2176;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;l;;;1,59042E+12;0;0;3;l;;;;;;;;;;;;;;;;;;;;;;
2177;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;e;;;1,59042E+12;0;0;3;e;;;;;;;;;;;;;;;;;;;;;;
2178;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;a;;;1,59042E+12;0;0;3;a;;;;;;;;;;;;;;;;;;;;;;
2179;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;c;;;1,59042E+12;0;0;3;c;;;;;;;;;;;;;;;;;;;;;;
2180;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;n;;;1,59042E+12;0;0;3;n;;;;;;;;;;;;;;;;;;;;;;
2181;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;h;;;1,59042E+12;0;0;3;h;;;;;;;;;;;;;;;;;;;;;;
2182;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;g;;;1,59042E+12;0;0;3;g;;;;;;;;;;;;;;;;;;;;;;
2183;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;t;;;1,59042E+12;0;0;3;t;;;;;;;;;;;;;;;;;;;;;;
2184;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;s ;;;1,59042E+12;132;0;3;s;;;;;;;;;;;;;;;;;;;;;;
2185;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;r;;;1,59042E+12;0;0;3;r;;;;;;;;;;;;;;;;;;;;;;
2186;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;d ;;;1,59042E+12;250;0;3;d;;;;;;;;;;;;;;;;;;;;;;
2187;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;e;;;1,59042E+12;0;0;3;e;;;;;;;;;;;;;;;;;;;;;;
2188;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;e poort;;;1,59042E+12;1547;0;3;the gate;;;;;;;;;;;;;;;;;;;;;;
2198;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;Je hebt ede derde rij van rechtes en dan het onderste blokjeDe is ook ;;;1,59042E+12;16861;0;3;You have the third row of lines and then the bottom block;;;;;;;;;;;;;;;;;;;;;;
2199;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;g;;;1,59042E+12;0;0;3;g;;;;;;;;;;;;;;;;;;;;;;
2200;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;g;;;1,59042E+12;0;0;3;g;;;;;;;;;;;;;;;;;;;;;;
2201;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;a;;;1,59042E+12;0;0;3;a;;;;;;;;;;;;;;;;;;;;;;
2202;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;rij;;;1,59042E+12;127;0;3;queue;;;;;;;;;;;;;;;;;;;;;;
2203;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;at;;;1,59042E+12;19;0;3;ate;;;;;;;;;;;;;;;;;;;;;;
2204;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;s;;;1,59042E+12;0;0;3;s;;;;;;;;;;;;;;;;;;;;;;
2205;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2; ;;;1,59042E+12;0;0;3; ;;;;;;;;;;;;;;;;;;;;;;
2206;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1; ;;;1,59042E+12;0;0;3; ;;;;;;;;;;;;;;;;;;;;;;
2207;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;he;;;1,59042E+12;64;0;3;Hey;;;;;;;;;;;;;;;;;;;;;;
2210;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;b;;;1,59042E+12;0;0;3;b;;;;;;;;;;;;;;;;;;;;;;
2211;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;t?;;;1,59042E+12;256;0;3;t?;;;;;;;;;;;;;;;;;;;;;;
2221;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;ij mijIk ben er;;;1,59042E+12;6067;0;3;I am here;;;;;;;;;;;;;;;;;;;;;;
2232;0004;WYSIWYGTBT;WYSIWYG;data;Participant1;CORRECT;;;1,59042E+12;0;0;3;CORRECT;;;;;;;;;;;;;;;;;;;;;;
2233;0004;WYSIWYGTBT;WYSIWYG;data;Participant2;CORRECT;;;1,59042E+12;0;0;3;CORRECT;;;;;;;;;;;;;;;;;;;;;;
2254;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;oki;;;1,59042E+12;193;1;1;oki;;;;;;;;;;;;;;;;;;;;;;
2255;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;Ik heb een grijs blokje helemaal rehchst;;;1,59042E+12;6460;1;1;I completely rehchst a gray block;;;;;;;;;;;;;;;;;;;;;;
2256;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;ik heb daar een ppoortdus kannie;;;1,59042E+12;6073;1;1;I have a ppoortdus kannie there;;;;;;;;;;;;;;;;;;;;;;
2260;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;Ik heb ook een grijze in de vierde rij van boven en dan de tweede;;;1,59042E+12;9194;1;1;I also have a gray in the fourth row from the top and then the second;;;;;;;;;;;;;;;;;;;;;;
2268;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;gaat het open?;;;1,59042E+12;1704;1;1;does it open?;;;;;;;;;;;;;;;;;;;;;;
2269;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;wekewelk;;;1,59042E+12;2463;1;1;wake up;;;;;;;;;;;;;;;;;;;;;;
2270;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;v;;;1,59042E+12;0;1;1;v;;;;;;;;;;;;;;;;;;;;;;
2271;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;e;;;1,59042E+12;0;1;1;e;;;;;;;;;;;;;;;;;;;;;;
2272;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;i;;;1,59042E+12;0;1;1;i;;;;;;;;;;;;;;;;;;;;;;
2273;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1; ;;;1,59042E+12;0;1;1; ;;;;;;;;;;;;;;;;;;;;;;
2274;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;er;;;1,59042E+12;172;1;1;there;;;;;;;;;;;;;;;;;;;;;;
2275;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;mo;;;1,59042E+12;125;1;1;mo;;;;;;;;;;;;;;;;;;;;;;
2276;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;d;;;1,59042E+12;0;1;1;d;;;;;;;;;;;;;;;;;;;;;;
2277;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;et;;;1,59042E+12;145;1;1;et;;;;;;;;;;;;;;;;;;;;;;
2278;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;e rij van boven en dan de tweede zei je?>;;;1,59042E+12;5266;1;1;The row from the top and then the second you said?>;;;;;;;;;;;;;;;;;;;;;;
2279;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;Ja hij is open;;;1,59042E+12;1811;1;1;Yes it is open;;;;;;;;;;;;;;;;;;;;;;
2280;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;okik heb bovik heb de tweede rij van bocven en dan links;;;1,59042E+12;15313;1;1;okik got bovik got the second row of bocven and then left;;;;;;;;;;;;;;;;;;;;;;
2281;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;oh dan moet ik weet door een poort;;;1,59042E+12;4992;1;1;oh then i need to know through a gate;;;;;;;;;;;;;;;;;;;;;;
2296;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;ok ik heb tderde ru=rij van onder de rechter;;;1,59042E+12;13054;1;1;ok i have third ru = row from below the right;;;;;;;;;;;;;;;;;;;;;;
2297;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;Deze?;;;1,59042E+12;1394;1;1;This one?;;;;;;;;;;;;;;;;;;;;;;
2298;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;top!;;;1,59042E+12;584;1;1;top!;;;;;;;;;;;;;;;;;;;;;;
2302;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;kun je er komen;;;1,59042E+12;1868;1;1;you can get there;;;;;;;;;;;;;;;;;;;;;;
2303;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;ja;;;1,59042E+12;107;1;1;Yes;;;;;;;;;;;;;;;;;;;;;;
2311;0004;WYSIWYGTBT;WYSIWYG;data;Participant1;CORRECT;;;1,59042E+12;0;1;1;CORRECT;;;;;;;;;;;;;;;;;;;;;;
2312;0004;WYSIWYGTBT;WYSIWYG;data;Participant2;CORRECT;;;1,59042E+12;0;1;1;CORRECT;;;;;;;;;;;;;;;;;;;;;;
2333;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1; ;;;1,59042E+12;0;2;6; ;;;;;;;;;;;;;;;;;;;;;;
2334;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;waar heb je?;;;1,59042E+12;1912;2;6;where have you?;;;;;;;;;;;;;;;;;;;;;;
2337;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;tweede rij van boven tweede rechtsen vri;;;1,59042E+12;9298;2;6;second row from above second right hand Fri.;;;;;;;;;;;;;;;;;;;;;;
2338;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;he;;;1,59042E+12;78;2;6;Hey;;;;;;;;;;;;;;;;;;;;;;
2339;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;i;;;1,59042E+12;0;2;6;i;;;;;;;;;;;;;;;;;;;;;;
2340;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;b;;;1,59042E+12;0;2;6;b;;;;;;;;;;;;;;;;;;;;;;
2341;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;e;;;1,59042E+12;0;2;6;e;;;;;;;;;;;;;;;;;;;;;;
2342;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2; poortje daar;;;1,59042E+12;1926;2;6;gate there;;;;;;;;;;;;;;;;;;;;;;
2343;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;vierde rij van boven tweede van rehchts?;;;1,59042E+12;8843;2;6;fourth row from top second from right?;;;;;;;;;;;;;;;;;;;;;;
2344;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;poortjeik kan alleen naa rbenedenof je;;;1,59042E+12;14372;2;6;Gate I can only go downstairs or you;;;;;;;;;;;;;;;;;;;;;;
2345;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;h;;;1,59042E+12;0;2;6;h;;;;;;;;;;;;;;;;;;;;;;
2346;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2; m;;;1,59042E+12;82;2;6;m;;;;;;;;;;;;;;;;;;;;;;
2347;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;oe;;;1,59042E+12;62;2;6;oe;;;;;;;;;;;;;;;;;;;;;;
2348;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;oe;;;1,59042E+12;24;2;6;oe;;;;;;;;;;;;;;;;;;;;;;
2349;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1; ;;;1,59042E+12;0;2;6; ;;;;;;;;;;;;;;;;;;;;;;
2350;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;t poortje openen;;;1,59042E+12;1877;2;6;t open the gate;;;;;;;;;;;;;;;;;;;;;;
2351;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;waar zijn die?;;;1,59042E+12;2040;2;6;where are they?;;;;;;;;;;;;;;;;;;;;;;
2352;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;helemaal beneden middelste;;;1,59042E+12;3424;2;6;all the way down middle;;;;;;;;;;;;;;;;;;;;;;
2353;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;Kan ik niet komen;;;1,59042E+12;2316;2;6;I can't come;;;;;;;;;;;;;;;;;;;;;;
2363;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;oki dan tweede rij boven helemaal links;;;1,59042E+12;6094;2;6;okay then second row at the top left;;;;;;;;;;;;;;;;;;;;;;
2369;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;zijn ze open?;;;1,59042E+12;1694;2;6;are they open?;;;;;;;;;;;;;;;;;;;;;;
2370;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;kan jioj door je poortjes?;;;1,59042E+12;4016;2;6;can jioj go through your gates?;;;;;;;;;;;;;;;;;;;;;;
2372;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;nee;;;1,59042E+12;428;2;6;No;;;;;;;;;;;;;;;;;;;;;;
2375;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;nu?;;;1,59042E+12;1192;2;6;now?;;;;;;;;;;;;;;;;;;;;;;
2378;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;ja;;;1,59042E+12;52;2;6;Yes;;;;;;;;;;;;;;;;;;;;;;
2383;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;top;;;1,59042E+12;228;2;6;top;;;;;;;;;;;;;;;;;;;;;;
2393;0004;WYSIWYGTBT;WYSIWYG;data;Participant1;CORRECT;;;1,59042E+12;0;2;6;CORRECT;;;;;;;;;;;;;;;;;;;;;;
2394;0004;WYSIWYGTBT;WYSIWYG;data;Participant2;CORRECT;;;1,59042E+12;0;2;6;CORRECT;;;;;;;;;;;;;;;;;;;;;;
2415;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;ben jij bij de ;;;1,59042E+12;3055;3;5;are you with the;;;;;;;;;;;;;;;;;;;;;;
2416;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;ik heb bij de aller rechste blok een grijze;;;1,59042E+12;7153;3;5;I have a gray one at the very right block;;;;;;;;;;;;;;;;;;;;;;
2417;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;ik bij linksonder;;;1,59042E+12;3233;3;5;me at bottom left;;;;;;;;;;;;;;;;;;;;;;
2431;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;ik kan niet naar onder;;;1,59042E+12;2486;3;5;I can't go down;;;;;;;;;;;;;;;;;;;;;;
2435;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;zijn ze open?;;;1,59042E+12;1595;3;5;are they open?;;;;;;;;;;;;;;;;;;;;;;
2450;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;nu?;;;1,59042E+12;1326;3;5;now?;;;;;;;;;;;;;;;;;;;;;;
2455;0004;WYSIWYGTBT;WYSIWYG;data;Participant1;CORRECT;;;1,59042E+12;0;3;5;CORRECT;;;;;;;;;;;;;;;;;;;;;;
2456;0004;WYSIWYGTBT;WYSIWYG;data;Participant2;CORRECT;;;1,59042E+12;0;3;5;CORRECT;;;;;;;;;;;;;;;;;;;;;;
2477;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;Ja;;;1,59042E+12;112;4;9;Yes;;;;;;;;;;;;;;;;;;;;;;
2478;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;ik heb veierder*vierde rij onder helemaal links;;;1,59042E+12;11878;4;9;I have a fourth row at the bottom left;;;;;;;;;;;;;;;;;;;;;;
2479;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;kan ik niet komen;;;1,59042E+12;2423;4;9;I can't come;;;;;;;;;;;;;;;;;;;;;;
2480;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;dat is mijn enige;;;1,59042E+12;2062;4;9;that's my only one;;;;;;;;;;;;;;;;;;;;;;
2481;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;ik;;;1,59042E+12;136;4;9;I;;;;;;;;;;;;;;;;;;;;;;
2482;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2; ;;;1,59042E+12;0;4;9; ;;;;;;;;;;;;;;;;;;;;;;
2483;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1; ;;;1,59042E+12;0;4;9; ;;;;;;;;;;;;;;;;;;;;;;
2484;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;w;;;1,59042E+12;0;4;9;w;;;;;;;;;;;;;;;;;;;;;;
2485;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;h;;;1,59042E+12;0;4;9;h;;;;;;;;;;;;;;;;;;;;;;
2486;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;a;;;1,59042E+12;0;4;9;a;;;;;;;;;;;;;;;;;;;;;;
2487;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;eb;;;1,59042E+12;79;4;9;ebb;;;;;;;;;;;;;;;;;;;;;;
2488;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;a;;;1,59042E+12;0;4;9;a;;;;;;;;;;;;;;;;;;;;;;
2489;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1; ;;;1,59042E+12;0;4;9; ;;;;;;;;;;;;;;;;;;;;;;
2490;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;r;;;1,59042E+12;0;4;9;r;;;;;;;;;;;;;;;;;;;;;;
2491;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;e;;;1,59042E+12;0;4;9;e;;;;;;;;;;;;;;;;;;;;;;
2492;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2; ;;;1,59042E+12;0;4;9; ;;;;;;;;;;;;;;;;;;;;;;
2493;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;r;;;1,59042E+12;0;4;9;r;;;;;;;;;;;;;;;;;;;;;;
2494;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;is;;;1,59042E+12;57;4;9;is;;;;;;;;;;;;;;;;;;;;;;
2495;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1; ;;;1,59042E+12;0;4;9; ;;;;;;;;;;;;;;;;;;;;;;
2496;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2; ;;;1,59042E+12;0;4;9; ;;;;;;;;;;;;;;;;;;;;;;
2497;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;d;;;1,59042E+12;0;4;9;d;;;;;;;;;;;;;;;;;;;;;;
2498;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;j;;;1,59042E+12;0;4;9;j;;;;;;;;;;;;;;;;;;;;;;
2499;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;r;;;1,59042E+12;0;4;9;r;;;;;;;;;;;;;;;;;;;;;;
2500;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;o;;;1,59042E+12;0;4;9;o;;;;;;;;;;;;;;;;;;;;;;
2501;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;ie;;;1,59042E+12;57;4;9;ie;;;;;;;;;;;;;;;;;;;;;;
2502;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;uwne?;;;1,59042E+12;689;4;9;yours?;;;;;;;;;;;;;;;;;;;;;;
2503;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;bovens;;;1,59042E+12;906;4;9;above;;;;;;;;;;;;;;;;;;;;;;
2504;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;ok;;;1,59042E+12;176;4;9;OK;;;;;;;;;;;;;;;;;;;;;;
2505;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1;te;;;1,59042E+12;101;4;9;to;;;;;;;;;;;;;;;;;;;;;;
2506;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2;i;;;1,59042E+12;0;4;9;i;;;;;;;;;;;;;;;;;;;;;;
2507;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant1; rij;;;1,59042E+12;233;4;9;queue;;;;;;;;;;;;;;;;;;;;;;
2508;0004;WYSIWYGTBT;WYSIWYG;WYSIWYG;Participant2; ;;;1,59042E+12;0;4;9; ;;;;;;;;;;;;;;;;;;;;;;
